s#,date,islamic date,blast day type,holiday type,time,city,latitude,longitude,province,location,location category,location sensitivity,open/closed space,influencing event/event,target type,targeted sect if any,killed min,killed max,injured min,injured max,no. of suicide blasts,explosive weight (max),hospital names,temperature(c),temperature(f)
1,1995-11-19,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,,Foreigner,None,14.0,15.0,,60.0,2.0,,,15.835,60.503
2,2000-11-06,10 SHa`baan 1421 A.H,Working Day,,,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,,Media,None,,3.0,,3.0,1.0,,,23.77,74.786
3,2002-05-08,25 safar 1423 A.H,Working Day,,07:45:00,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel,Hotel,Medium,Closed,,Foreigner,Christian,13.0,15.0,20.0,40.0,1.0,25.0,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.628
4,2002-06-14,3 Raby` al-THaany 1423 A.H,Working Day,,11:10:00,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area,Foreign,High,Closed,,Foreigner,Christian,,12.0,,51.0,1.0,,,31.43,88.574
5,2003-07-04,4 Jumaada al-awal 1424 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44.0,47.0,,65.0,1.0,,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616
6,2003-12-25,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,13:42:00,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,None,16.0,18.0,,50.0,2.0,30.0,"1.District headquarters 
Hospital ",9.445,49.001
7,2004-02-28,8 MuHarram 1425 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,,1.0,3.0,4.0,1.0,,,15.275,59.495
8,2004-05-07,18 Raby` al-awal 1425 A.H,Working Day,,13:17:00,Karachi,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14.0,15.0,96.0,200.0,1.0,2.0,Civil hospital,33.86,92.948
9,2004-05-31,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,,Religious,Shiite,16.0,18.0,,35.0,1.0,,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889
10,2004-06-03,15 Raby` al-THaany 1425 A.H,Working Day,,,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,,Military,None,,2.0,,2.0,1.0,,,27.18,80.924
11,2004-07-28,11 Jumaada al-THaany 1425 A.H,Working Day,,,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,None,2.0,3.0,,3.0,2.0,,CMH Kohat,32.43,90.374
12,2004-07-30,13 Jumaada al-THaany 1425 A.H,Working Day,,19:20:00,Attock,33.7645,72.3667,Punjab,Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally,Government Official,None,,7.0,44.0,70.0,1.0,,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997
13,2004-10-01,17 SHa`baan 1425 A.H,Working Day,,13:25:00,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25.0,31.0,50.0,75.0,1.0,,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518
14,2004-10-10,26 SHa`baan 1425 A.H.,Holiday,Weekend,18:40:00,Lahore,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4.0,5.0,6.0,10.0,1.0,,Mayo Hospital,24.39,75.902
