permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
4,0.01695328698621783,12,4,6.0,6.0,4000.0,4000.0,56,143.0,39,160.0,2.0,3.0,1.0,3.0,34,94102.0,True,False,True,547 days,False,1.0,False,1.0,0.89375,37.785719256680785,-122.40852313194863,735724,736684,735724,735911,734948,735911,736271
4,0.0535431150140261,12,6,7.0,7.0,1.0,500.0,56,36.0,34,36.0,2.0,3.0,2.0,3.0,34,94102.0,True,False,True,593 days,False,1.0,False,0.002,1.0,37.78733980600732,-122.41063199757738,736073,736544,736073,736544,734948,736544,736666
3,0.2007561897792414,1,11,6.0,6.0,20000.0,25000.0,47,39.0,54,39.0,2.0,1.0,1.0,3.0,30,94109.0,True,False,True,-729 days,False,1.0,True,0.8,1.0,37.7946573324287,-122.42232562979227,736111,736598,736111,735022,734948,735022,735382
8,0.1498963288205879,1,3,2.0,2.0,2000.0,2000.0,0,1.0,0,1.0,2.0,5.0,5.0,3.0,19,94109.0,True,True,True,613 days,False,1.0,True,1.0,1.0,37.79595867909168,-122.41557405519474,736275,736534,736275,736528,736534,736528,736888
6,0.11574582266130015,12,6,3.0,3.0,100000.0,100000.0,47,5.0,67,8.0,2.0,3.0,1.0,6.0,34,94102.0,True,False,False,733 days,False,1.0,False,1.0,0.625,37.78315261897309,-122.40950883997789,736296,736664,736296,736664,734948,736653,737029
8,0.09745090864739601,12,6,5.0,5.0,4000.0,4000.0,6,326.0,6,326.0,2.0,1.0,1.0,10.0,27,94107.0,True,False,True,382 days,False,1.0,True,1.0,1.0,37.75922331346539,-122.39170402628598,736494,736516,736494,736516,734948,736516,736876
8,0.15733626051957558,1,3,3.0,3.0,12000.0,12000.0,6,5.0,6,5.0,0.0,5.0,5.0,5.0,11,94122.0,True,True,True,360 days,False,1.0,True,1.0,1.0,37.764145640138565,-122.46875112470363,736510,736522,736510,736510,736522,736510,736870
8,0.17855836077570436,1,6,3.0,3.0,25000.0,0.0,59,22.0,65,21.0,2.0,5.0,5.0,10.0,0,94124.0,True,False,True,-1128 days,False,1.0,True,inf,1.0476190476190477,37.73005099023611,-122.38784938916618,736510,736510,736510,736510,734948,736510,735382
8,0.2552750335406757,12,6,4.0,4.0,100000.0,1.0,13,5.0,22,5.0,0.0,5.0,5.0,5.0,15,94117.0,True,False,True,-1133 days,False,1.0,True,100000.0,1.0,37.772393498502595,-122.45231466824669,736515,736515,736515,736515,734948,736515,735382
8,0.010733016221490426,13,6,18.0,18.0,1000.0,0.0,29,53.0,27,61.0,2.0,2.0,4.0,8.0,8,94117.0,True,False,True,-1134 days,False,1.0,False,inf,0.8688524590163934,37.7691724293766,-122.43734859051908,736516,736516,736516,736516,734948,736516,735382
8,0.012806439809732895,12,6,9.0,8.0,1.0,1.0,44,20.0,51,22.0,2.0,5.0,5.0,8.0,2,94114.0,True,False,True,-1134 days,False,1.125,True,1.0,0.9090909090909091,37.767349757757145,-122.43140682973024,736516,736516,736516,736516,734948,736516,735382
8,0.08220514696914258,12,6,4.0,4.0,5200.0,1.0,43,6.0,34,6.0,0.0,3.0,3.0,5.0,9,94102.0,True,False,True,-1135 days,False,1.0,True,5200.0,1.0,37.774914087334544,-122.42886839796792,736517,736517,736517,736517,734948,736517,735382
8,0.4977436272716185,12,6,2.0,2.0,11000.0,1.0,46,0.0,53,6.0,0.0,5.0,5.0,8.0,20,94114.0,True,False,True,-1138 days,False,1.0,True,11000.0,0.0,37.75006779619502,-122.43127350268124,736520,736520,736520,736520,734948,736520,735382
8,0.08293694352969874,12,5,2.0,2.0,30000.0,0.0,0,1.0,0,1.0,2.0,5.0,5.0,8.0,20,94131.0,True,False,True,-1153 days,False,1.0,True,inf,1.0,37.7462205625642,-122.4353484860549,736535,736535,736535,735022,734948,735022,735382
8,0.3366264178558361,12,6,1.0,1.0,4200.0,1.0,59,0.0,33,0.0,2.0,4.0,4.0,2.0,25,94115.0,True,False,True,-1154 days,False,1.0,True,4200.0,,37.78676200041077,-122.44124093333335,736536,736536,736536,736536,734948,736536,735382
8,0.10232955238443713,12,6,3.0,3.0,1.0,1.0,13,2.0,14,2.0,0.0,5.0,5.0,3.0,3,94108.0,True,False,True,-1155 days,False,1.0,True,1.0,1.0,37.7926690651263,-122.40883941791454,736537,736537,736537,736537,734948,736537,735382
8,0.026710574460300035,12,6,2.0,2.0,500.0,1.0,8,1.0,47,1.0,2.0,3.0,5.0,3.0,5,94104.0,True,False,True,-1155 days,False,1.0,False,500.0,1.0,37.79130641988351,-122.40198579459195,736537,736537,736537,736537,734948,736537,735382
8,0.45200634223685815,12,6,3.0,3.0,1.0,1.0,23,6.0,10,6.0,2.0,5.0,5.0,8.0,20,94114.0,True,False,True,-1155 days,False,1.0,True,1.0,1.0,37.75607840165479,-122.43041143390109,736537,736537,736537,736537,734948,736537,735382
8,0.159287718014392,12,5,4.0,4.0,75000.0,0.0,6,6.0,6,6.0,2.0,5.0,5.0,2.0,16,94123.0,True,False,True,-1156 days,False,1.0,True,inf,1.0,37.8035183252307,-122.42863180996076,736538,736538,736538,735022,734948,735022,735382
8,0.03195511647761923,1,6,3.0,3.0,150000.0,1.0,27,0.0,64,0.0,2.0,5.0,4.0,8.0,2,94114.0,True,False,True,-1156 days,False,1.0,False,150000.0,,37.761092365437214,-122.44402154957145,736538,736538,736538,736538,734948,736538,735382
8,0.19795096963044276,12,6,5.0,6.0,3800.0,1.0,44,33.0,51,34.0,2.0,2.0,1.0,5.0,15,94117.0,True,False,True,-1159 days,False,0.8333333333333334,False,3800.0,0.9705882352941176,37.77640228859421,-122.44361679686382,736541,736541,736541,736541,734948,736541,735382
8,0.41578241248932796,12,5,2.0,2.0,100000.0,0.0,1,2.0,1,2.0,2.0,5.0,5.0,9.0,17,94110.0,True,False,True,-1160 days,False,1.0,True,inf,1.0,37.74914175355125,-122.41849211166853,736542,736542,736542,735022,734948,735022,735382
3,0.2621051347725332,12,5,3.0,3.0,100000.0,125000.0,6,6.0,6,6.0,2.0,5.0,5.0,3.0,30,94133.0,True,False,True,-1160 days,False,1.0,True,0.8,1.0,37.802405951667645,-122.41446286561653,736542,736542,736542,735022,734948,735022,735382
8,0.3443102817416758,12,6,19.0,19.0,10000.0,1.0,31,70.0,28,6.0,2.0,1.0,1.0,2.0,16,94123.0,True,False,True,-1166 days,False,1.0,True,10000.0,11.666666666666666,37.79697456740493,-122.44615769723546,736548,736548,736548,736548,734948,736548,735382
