s#,date,islamic date,blast day type,holiday type,time,city,latitude,longitude,province,location,location category,location sensitivity,open/closed space,influencing event/event,target type,targeted sect if any,killed min,killed max,injured min,injured max,no. of suicide blasts,explosive weight (max),hospital names,temperature(c),temperature(f)
1,1995-11-19,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,closed,,Foreigner,,14.0,15.0,,60.0,2.0,,,15.835,60.503
2,2000-11-06,10 SHa`baan 1421 A.H,Working Day,,,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,closed,,Media,,,3.0,,3.0,1.0,,,23.77,74.786
3,2002-05-08,25 safar 1423 A.H,Working Day,,07:45:00,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel,Hotel,Medium,closed,,Foreigner,Christian,13.0,15.0,20.0,40.0,1.0,25.0,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.628
4,2002-06-14,3 Raby` al-THaany 1423 A.H,Working Day,,11:10:00,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area,Foreign,High,closed,,Foreigner,Christian,,12.0,,51.0,1.0,,,31.43,88.574
5,2003-07-04,4 Jumaada al-awal 1424 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,closed,during Friday prayer,Religious,Shiite,44.0,47.0,,65.0,1.0,,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616
6,2003-12-25,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,13:42:00,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi,Mobile,Low,open,president's/chief of army staff convoy passing from there,Military,,16.0,18.0,,50.0,2.0,30.0,"1.District headquarters 
Hospital ",9.445,49.001
7,2004-02-28,8 MuHarram 1425 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,closed,maghrib prayer was in process,Religious,Shiite,,1.0,3.0,4.0,1.0,,,15.275,59.495
8,2004-05-07,18 Raby` al-awal 1425 A.H,Working Day,,13:17:00,Karachi,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,closed,Friday prayer was in progress,Religious,Shiite,14.0,15.0,96.0,200.0,1.0,2.0,Civil hospital,33.86,92.948
9,2004-05-31,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,closed,,Religious,Shiite,16.0,18.0,,35.0,1.0,,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889
10,2004-06-03,15 Raby` al-THaany 1425 A.H,Working Day,,,North Waziristan,32.9746,70.1456,Fata,checkpost in north waziristan-close to Afghanistan border,Military,High,open,,Military,,,2.0,,2.0,1.0,,,27.18,80.924
11,2004-07-28,11 Jumaada al-THaany 1425 A.H,Working Day,,,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Commercial/residence,High,closed,Army,Military,,2.0,3.0,,3.0,2.0,,CMH Kohat,32.43,90.374
12,2004-07-30,13 Jumaada al-THaany 1425 A.H,Working Day,,19:20:00,Attock,33.7645,72.3667,Punjab,Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,open,Election rally,Government Official,,,7.0,44.0,70.0,1.0,,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997
13,2004-10-01,17 SHa`baan 1425 A.H,Working Day,,13:25:00,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,closed,Friday prayer,Religious,Shiite,25.0,31.0,50.0,75.0,1.0,,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518
14,2004-10-10,26 SHa`baan 1425 A.H.,Holiday,Weekend,18:40:00,Lahore,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,closed,Jamia Masjid /Shia Mosque,Religious,Shiite,4.0,5.0,6.0,10.0,1.0,,Mayo Hospital,24.39,75.902
15,2005-03-19,9 safar 1426 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Gandava Town Shrine,Religious,Medium,closed,Urs Ceremony,Religious,Shiite,25.0,50.0,8.0,100.0,1.0,,,16.5,61.7
16,2005-04-28,19 Raby` al-awal 1426 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat,Park/Ground,Low,open,,Civilian,,,2.0,,,1.0,,,19.935,67.883
17,2005-05-27,19 Raby` al-THaany 1426 A.H,Working Day,,11:00:00,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20.0,25.0,82.0,100.0,1.0,,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888
18,2005-05-30,22 Raby` al-THaany 1426 A.H,Working Day,,,Karachi,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal,Religious,Medium,closed,evening prayer,Religious,Shiite,5.0,6.0,19.0,30.0,1.0,,1. Patel Hospital 2. JMPC,31.945,89.501
19,2006-02-09,10 MuHarram 1427 A.H,Holiday,Ashura,09:35:00,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Park/Ground,Low,open,Ashura Day,Religious,Shiite,37.0,40.0,90.0,,1.0,,Hangu Hospital,15.495,59.891
20,2006-03-02,2 safar 1427 A.H.,Working Day,,09:00:00,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4.0,5.0,30.0,54.0,1.0,15.0,,25.3,77.54
21,2006-04-12,14 Raby` al-awal 1427 A.H,Holiday,Eid Milad un-Nabi,,Karachi,24.9918,66.9911,Sindh,Nishter Park,Park/Ground,Medium,open,Eid Miladun Nabi,Religious,Sunni,47.0,57.0,,100.0,1.0,5.0,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital,28.415,83.147
